"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Sep 2016",2.19422494345592,1.95168889475864,2.4367609921532,1.8232980660834,2.56515182082844
"Oct 2016",2.62142433151115,2.37888828281387,2.86396038020843,2.25049745413863,2.99235120888366
"Nov 2016",3.10158567778965,2.85904962909237,3.34412172648693,2.73065880041713,3.47251255516217
"Dec 2016",4.40406359717742,4.16152754848014,4.6465996458747,4.0331367198049,4.77499047454994
