FID,ORGANIZATI,FIRENAME,FIRENUMBER,FIRECODE,CAUSE,SPECCAUSE,STATCAUSE,SIZECLASS,FIRETYPE,YEAR_,STARTDATED,CONTRDATED,OUTDATED,STATE,STATE_FIPS,DLATITUDE,DLONGITUDE,TOTALACRES,TRPGENCAUS,TRPSPECCAU
1603,FWS,BIG BERTHA,2041,2041,Human,30,0,F,1,1988,3/26/88 0:00,3/27/88 0:00,,Arizona,4,31.58333,-111.55,1500,0,0
1605,FWS,MORMON,2043,2043,Human,30,0,G,1,1986,5/15/86 0:00,5/19/86 0:00,,Arizona,4,32.5,-111.51667,10390,0,0
1608,FWS,NORTH,2048,2048,Human,30,0,F,1,1986,6/27/86 0:00,6/28/86 0:00,,Montana,30,47.5,-111.43333,1400,0,0
1647,FWS,YELLOW,2357,2357,Human,30,0,F,1,2002,2/28/02 0:00,3/2/02 0:00,,Arizona,4,31.7,-111.483,1035,0,0
1668,FWS,GUS,2493,2493,Human,10,0,G,1,2000,4/9/00 0:00,4/10/00 0:00,,Arizona,4,31.516,-111.517,5700,0,0
1673,FWS,LANE,2550,2550,Human,10,0,F,1,2000,5/14/00 0:00,5/18/00 0:00,,Arizona,4,31.649,-111.491,2750,0,0
1675,FWS,CITY HALL,2564,2564,Human,30,0,G,1,2002,5/14/02 0:00,5/15/02 0:00,,Arizona,4,31.766,-111.483,5312,0,0
1677,FWS,CITYHALL2,2572,2572,Human,10,0,G,1,2000,6/2/00 0:00,6/4/00 0:00,,Arizona,4,31.791,-111.458,5200,0,0
1680,FWS,CITY HALL,2578,2578,Human,0,0,G,1,1991,5/16/91 0:00,5/18/91 0:00,,Arizona,4,31.75,-111.45,6530,0,0
1682,FWS,CUMERO,2612,2612,Natural,30,0,F,1,1991,7/26/91 0:00,7/30/91 0:00,,Arizona,4,31.46667,-111.43333,2500,0,0
1707,FWS,HIPPY,2718,2718,Human,30,0,F,1,1994,7/6/94 0:00,7/7/94 0:00,,Arizona,4,31.716,-111.433,2500,0,0
1708,FWS,SASABE,2720,2720,Human,30,0,F,1,1994,7/4/94 0:00,7/4/94 0:00,,Arizona,4,31.5,-111.55,1200,0,0
1760,FWS,WALTERS,2084,2084,Human,0,0,F,1,1992,3/18/92 0:00,3/20/92 0:00,,California,6,33.28333,-114.71667,1800,0,0
1775,FWS,CIBOLA, ,CY55,Natural,30,0,F,1,2006,7/16/06 0:00,7/23/06 0:00,,Arizona,4,33.32199,-114.705,4600,0,0
1777,FWS,CAMINO, ,BN6U,Human,30,0,F,1,2005,4/18/05 0:00,4/21/05 0:00,,Arizona,4,32.25056,-113.63028,1025,0,0
1778,FWS,GROWLER PEAK, ,BRS5,Human,30,0,G,1,2005,5/13/05 0:00,5/18/05 0:00,,Arizona,4,32.3888,-113.28639,7500,0,0
1803,FWS,SOUTH DIKE,2281,2281,Human,30,0,F,1,1998,7/5/98 0:00,9/2/98 0:00,,Arizona,4,34.7653,-114.533,2200,0,0
1846,FWS,FERGUSONLK,2034,2034,Natural,30,0,F,1,1987,5/7/87 0:00,5/8/87 0:00,,California,6,33,-114.5,2500,0,0
1851,FWS,FERGUSON,2071,2071,Human,30,0,F,1,1989,5/28/89 0:00,6/1/89 0:00,,California,6,33.01667,-114.51667,3080,0,0
1875,FWS,KING VALLY, ,B7S5,Human,30,0,G,1,2005,10/1/05 0:00,10/6/05 0:00,,Arizona,4,33.17889,-114.02139,26000,0,0
1892,FWS,SANTIAGO,1960,1960,Natural,30,0,F,1,1988,6/19/88 0:00,6/22/88 0:00,,California,6,34.9298,-119.3114,1900,0,0
1901,FWS,CLEAR,1807,1807,Natural,30,0,F,1,2001,7/3/01 0:00,7/5/01 0:00,,California,6,41.86667,-121.125,4317,0,0
1964,FWS,PIRU,1514,1514,Human,30,0,F,1,1998,10/18/98 0:00,10/24/98 0:00,,California,6,34.418,-118.794,1257,0,0
1966,FWS,HOPPER,1970,1970,Human,10,0,G,1,1997,8/5/97 0:00,8/11/97 0:00,,California,6,34.466,-118.867,24800,0,0
1968,FWS,PIRU, ,AXE7,Human,30,0,G,1,2003,10/23/03 0:00,11/10/03 0:00,,California,6,34.48722,-118.75972,63719,0,0
1990,FWS,REFUGE,1374,1374,Human,30,0,F,1,1998,8/4/98 0:00,9/18/98 0:00,,California,6,41.95,-121.73333,1500,0,0
2106,FWS,TURKEYTR,1074,1074,Human,30,0,F,1,1992,6/12/92 0:00,6/12/92 0:00,,California,6,35.91667,-119.41667,1200,0,0
2114,FWS,HANFORD FA,1326,1326,Human,0,0,F,1,1993,6/14/93 0:00,6/14/93 0:00,,California,6,35.93333,-119.35,1560,0,0
2138,FWS,PELICAN SJR, ,A8KU,Human,30,0,F,1,2004,7/19/04 0:00,7/28/04 0:00,,California,6,37.63611,-121.21167,1500,0,0
2419,FWS,VIEJAS,1651,1651,Human,10,0,G,1,2001,1/3/01 0:00,1/9/01 0:00,,California,6,32.73333,-116.95,10331,0,0
2436,FWS,OTAY322,1790,1790,Human,30,0,G,1,1996,10/22/96 0:00,10/28/96 0:00,,California,6,32.64393,-116.84354,14720,0,0
2476,FWS,CEDAR, ,AXQ3,Human,30,0,G,1,2003,10/25/03 0:00,11/25/03 0:00,,California,6,32.99882,-116.72293,283070,0,0
2477,FWS,MINE, ,AXS3,Human,30,0,G,1,2003,10/26/03 0:00,11/15/03 0:00,,California,6,32.60045,-116.76883,50300,0,0
2520,FWS,BUSTERFLAT,6400,6400,Natural,30,0,G,1,2000,7/3/00 0:00,7/16/00 0:00,,Colorado,8,40.7515,-108.8914,11033,0,0
2522,FWS,BIGGULCH,6514,6514,Human,30,0,F,1,1993,7/15/93 0:00,7/17/93 0:00,,Colorado,8,40.83333,-107.91667,2400,0,0
2526,FWS,ECKLUND CX,6965,6965,Natural,30,0,F,1,2001,7/17/01 0:00,10/5/01 0:00,,Colorado,8,40.6459,-108.9584,3239,0,0
4097,FWS,LAKE CHAN,1086,1086,Natural,30,0,F,1,1987,6/5/87 0:00,6/6/87 0:00,,Idaho,16,42.7,-113.2,2550,0,0
4098,FWS,WALCOTT,1121,1121,Natural,30,0,F,1,1995,7/29/95 0:00,7/31/95 0:00,,Idaho,16,42.71667,-113.41667,3643,0,0
4102,FWS,REFUGE,1451,1451,Natural,30,0,F,1,2000,7/26/00 0:00,7/27/00 0:00,,Idaho,16,42.63361,-113.32667,1838.6,0,0
4104,FWS,LKWALCOTT,1502,1502,Natural,30,0,G,1,1996,8/1/96 0:00,8/3/96 0:00,,Idaho,16,42.61667,-113.83333,9000,0,0
4105,FWS,WALCOTT 5,1511,1511,Natural,30,0,F,1,2002,7/6/02 0:00,7/6/02 0:00,,Idaho,16,42.64972,-113.46389,1293,0,0
4106,FWS,MINIDOKA,1521,1521,Natural,30,0,F,1,2000,8/23/00 0:00,8/25/00 0:00,,Idaho,16,42.66417,-113.42889,1102,0,0
4109,FWS,NORTH WAPI,1745,1745,Natural,30,0,G,1,1996,9/10/96 0:00,9/11/96 0:00,,Idaho,16,42.65,-113.15,10821,0,0
6631,FWS,LOST CREEK,6020,6020,Human,30,0,G,1,1982,4/30/82 0:00,5/5/82 0:00,,Montana,30,47.48742,-107.76138,10630,0,0
6642,FWS,CACTUS CK,6029,6029,Natural,30,0,F,1,1984,8/5/84 0:00,8/6/84 0:00,,Montana,30,47.45,-108.51667,2318,0,0
6676,FWS,CHAINBUTTE,6064,6064,Natural,30,0,F,1,1983,7/6/83 0:00,7/9/83 0:00,,Montana,30,47.53333,-108.03333,1365,0,0
6706,FWS,SANDBURN,6104,6104,Natural,30,0,F,1,1988,6/6/88 0:00,6/8/88 0:00,,Montana,30,47.33333,-107.75,3000,0,0
6755,FWS,SANDBURN,6151,6151,Natural,30,0,G,1,1998,5/17/98 0:00,5/21/98 0:00,,Montana,30,47.3333,-107.874,5680,0,0
6764,FWS,JIM WELLS,6180,6180,Natural,30,0,F,1,1988,8/18/88 0:00,8/20/88 0:00,,Montana,30,47.5,-107.88333,1600,0,0
6807,FWS,HERMAN RDG,6318,6318,Natural,30,0,F,1,1998,9/1/98 0:00,9/6/98 0:00,,Montana,30,47.6064,-107.547,4926,0,0
6843,FWS,ALKALIE,6494,6494,Human,30,0,G,1,1996,9/11/96 0:00,9/15/96 0:00,,Montana,30,47.416,-107.933,10031,0,0
6876,FWS,CK CREEK,6774,6774,Natural,30,0,G,1,1994,8/3/94 0:00,8/12/94 0:00,,Montana,30,47.683,-108.183,11067,0,0
6909,FWS,HEARTLAND, ,B6BS,Natural,30,0,G,1,2005,9/9/05 0:00,9/16/05 0:00,,Montana,30,47.7147,-107.4489,6689,0,0
6912,FWS,SHEEP, ,B6HU,Natural,30,0,G,1,2005,9/9/05 0:00,9/16/05 0:00,,Montana,30,47.6558,-107.47422,6778,0,0
6919,FWS,BRANDON COULEE, ,BZ63,Natural,30,0,F,1,2005,7/12/05 0:00,7/16/05 0:00,,Montana,30,47.71194,-107.57361,1930,0,0
6929,FWS,SODA CREEK, ,CY3Q,Natural,30,0,G,1,2006,7/16/06 0:00,7/25/06 0:00,,Montana,30,47.53167,-107.94917,32237,0,0
6930,FWS,HILL COULEE, ,CY3R,Natural,30,0,F,1,2006,7/16/06 0:00,7/28/06 0:00,,Montana,30,47.7274,-107.8111,2747,0,0
6931,FWS,FLAT TIRE, ,CY3T,Natural,30,0,G,1,2006,7/16/06 0:00,7/24/06 0:00,,Montana,30,47.73667,-106.98,18585,0,0
6933,FWS,BLACK PULASKI, ,CY3X,Natural,30,0,G,1,2006,7/15/06 0:00,7/28/06 0:00,,Montana,30,47.66667,-106.78361,14994,0,0
6937,FWS,UL BEND, ,CZQ0,Natural,30,0,F,1,2006,7/18/06 0:00,7/24/06 0:00,,Montana,30,47.5738,-107.396,2400,0,0
6941,FWS,BLUE PULASKI, ,F164,Natural,30,0,F,1,2003,7/2/03 0:00,7/7/03 0:00,,Montana,30,47.612,-106.847,1371.7,0,0
6945,FWS,MICKEY BUTTE, ,F187,Natural,30,0,F,1,2003,7/14/03 0:00,7/23/03 0:00,,Montana,30,47.552,-107.817,3350,0,0
6947,FWS,BIG COULEE, ,F205,Natural,30,0,G,1,2003,7/16/03 0:00,7/27/03 0:00,,Montana,30,47.5812,-107.467,5369,0,0
6949,FWS,GERMAINE, ,F207,Natural,30,0,G,1,2003,7/17/03 0:00,7/27/03 0:00,,Montana,30,47.57,-107.81,12051,0,0
7014,FWS,G 10E,6091,6091,Human,0,0,F,1,1985,5/6/85 0:00,5/6/85 0:00,,Montana,30,44.6,-111.66667,1200,0,0
7022,FWS,WINSLOW, ,F271,Natural,30,0,G,1,2003,8/12/03 0:00,10/27/03 0:00,,Montana,30,44.57194,-111.91361,13558,0,0
7730,FWS,WILDERNESS,6178,6178,Natural,30,0,G,1,1988,8/20/88 0:00,8/25/88 0:00,,Colorado,8,40,-102.43333,6276,0,0
8160,FWS,SAN PEDRO,2401,2401,Human,30,0,G,1,1996,6/8/96 0:00,6/11/96 0:00,,New Mexico,35,33.866,-106.858,5975,0,0
8178,FWS,MARCIAL, ,CJ82,Human,30,0,F,1,2006,5/3/06 0:00,5/11/06 0:00,,New Mexico,35,33.73833,-106.91833,4818,0,0
8208,FWS,SANDHILL,2450,2450,Human,30,0,F,1,2000,3/5/00 0:00,3/6/00 0:00,,New Mexico,35,33.413,-104.41,1450,0,0
8216,FWS,COTTONWOOD,2667,2667,Human,30,0,F,1,1994,4/14/94 0:00,4/15/94 0:00,,New Mexico,35,33.593,-104.45,3641,0,0
8221,FWS,CROSBY,2708,2708,Natural,30,0,F,1,1994,7/2/94 0:00,7/3/94 0:00,,New Mexico,35,33.616,-104.367,1367,0,0
8241,FWS,DEEP WELL,2033,2033,Natural,30,0,F,1,2001,6/14/01 0:00,6/15/01 0:00,,New Mexico,35,34.35,-106.69,3840,0,0
8251,FWS,BOOTLEG,2269,2269,Natural,30,0,F,1,1998,6/30/98 0:00,7/4/98 0:00,,New Mexico,35,34.35,-106.6,1200,0,0
8273,FWS,SEEHORN 94,2715,2715,Natural,30,0,F,1,1994,7/1/94 0:00,7/4/94 0:00,,New Mexico,35,32.75,-106.55,3650,0,0
8283,FWS,LONGSTREET, ,A9U1,Natural,30,0,F,1,2004,8/1/04 0:00,8/4/04 0:00,,Nevada,32,36.46472,-116.32278,1670,0,0
8288,FWS,FWS 3, ,Z128,Natural,30,0,F,1,2000,8/3/00 0:00,8/5/00 0:00,,Nevada,32,36.3869,-116.3117,1100,0,0
8299,FWS,COYOTE SPRINGS, ,A6CH,Natural,30,0,F,1,2004,6/28/04 0:00,7/8/04 0:00,,Nevada,32,36.4437,-115.0514,1054,0,0
8307,FWS,VEGAS, ,B2K6,Natural,30,0,F,1,2005,7/30/05 0:00,7/31/05 0:00,,Nevada,32,36.49583,-115.06278,4300,0,0
8318,FWS,LAMB, ,BV5G,Natural,30,0,G,1,2005,6/23/05 0:00,7/5/05 0:00,,Nevada,32,36.87667,-115.07194,6607,0,0
8319,FWS,WAMP, ,BV5H,Natural,30,0,F,1,2005,6/24/05 0:00,7/5/05 0:00,,Nevada,32,36.60278,-115.01389,2000,0,0
8320,FWS,COYOTE, ,BVP3,Natural,30,0,F,1,2005,6/22/05 0:00,7/5/05 0:00,,Nevada,32,36.63833,-115.00611,2468,0,0
8321,FWS,GASS, ,BW9C,Natural,30,0,G,2,2005,6/22/05 0:00,,,Nevada,32,36.2402,-115.1049,22000,0,0
8332,FWS,VEGAS, ,CSK9,Natural,30,0,G,1,2006,6/27/06 0:00,7/1/06 0:00,,Nevada,32,36.74861,-115.03111,21110,0,0
8337,FWS,GASS 3, ,CT0T,Natural,30,0,G,1,2006,7/1/06 0:00,7/10/06 0:00,,Nevada,32,36.4556,-115.0756,18790,0,0
8396,FWS,RUBYNWR,1607,1607,Human,0,0,F,1,1996,9/21/96 0:00,9/23/96 0:00,,Nevada,32,40.2,-115.48333,1917.6,0,0
8406,FWS,WEST MARSH,1307,1307,Human,30,0,F,1,1996,3/4/96 0:00,3/4/96 0:00,,Nevada,32,39.61667,-118.51667,1540,0,0
8963,FWS,HART MT,1950,1950,Human,0,0,G,1,1985,8/29/85 0:00,8/31/85 0:00,,Oregon,41,42.33333,-119.7,11390,0,0
8972,FWS,DEGARMO CY,1964,1964,Human,30,0,G,1,1999,11/7/99 0:00,11/9/99 0:00,,Oregon,41,42.54972,-119.70556,5000,0,0
8993,FWS,WOCUS 437,1081,1081,Natural,30,0,F,1,1987,8/31/87 0:00,9/1/87 0:00,,Oregon,41,42.86667,-121.68333,1500,0,0
9024,FWS,STCORRAL,1016,1016,Human,0,0,F,1,1995,3/30/95 0:00,4/3/95 0:00,,Oregon,41,43.08333,-118.86667,2000,0,0
9048,FWS,DIAMOND,1157,1157,Human,0,0,F,1,1990,10/16/90 0:00,10/16/90 0:00,,Oregon,41,43.08333,-118.83333,3200,0,0
9056,FWS,DUCK CLUB,1316,1316,Human,30,0,F,2,1996,3/30/96 0:00,,,Oregon,41,43.33333,-118.88333,1363,0,0
9060,FWS,ROCKY FORD,1462,1462,Natural,30,0,G,1,1996,7/30/96 0:00,8/1/96 0:00,,Oregon,41,43.18333,-118.85,10986.6,0,0
9086,FWS,GRAND DADDY, ,C4UB,Human,30,0,F,1,2006,8/21/06 0:00,9/12/06 0:00,,Oregon,41,42.85694,-118.83333,1535,0,0
9087,FWS,CRATOR 2, ,C4VX,Natural,30,0,F,1,2006,8/21/06 0:00,8/26/06 0:00,,Oregon,41,43.09444,-118.84278,2054,0,0
9107,FWS,MCGEE MT,1054,1054,Natural,30,0,F,1,1985,6/19/85 0:00,6/20/85 0:00,,Nevada,32,41.88333,-118.91667,1200.6,0,0
9119,FWS,BALD MTN,1057,1057,Natural,30,0,F,1,1988,8/10/88 0:00,8/13/88 0:00,,Oregon,41,45.86667,-119.61667,2261.2,0,0
9148,FWS,CATNIP,1629,1629,Human,0,0,G,1,1996,10/2/96 0:00,10/5/96 0:00,,Nevada,32,41.86861,-119.35028,5120,0,0
9152,FWS,BADGER,1716,1716,Natural,30,0,G,1,1994,7/17/94 0:00,7/21/94 0:00,,Nevada,32,41.6253,-119.298,7910,0,0
9161,FWS,BADGER FIR,1887,1887,Natural,30,0,G,1,1999,8/24/99 0:00,9/6/99 0:00,,Nevada,32,41.65111,-119.35028,40000,0,0
9163,FWS,VIRGIN,1920,1920,Natural,30,0,F,1,2001,8/8/01 0:00,8/10/01 0:00,,Nevada,32,41.6977,-119.1114,1800,0,0
9168,FWS,MCGEECYN,1951,1951,Natural,30,0,F,1,1985,6/19/85 0:00,6/20/85 0:00,,Nevada,32,41.91667,-118.88333,1500,0,0
9207,FWS,TRAIN 81,1053,1053,Human,30,0,F,1,1988,8/3/88 0:00,8/3/88 0:00,,Washington,53,45.93333,-119.48333,1260,0,0
9286,FWS,LECLAIR,1760,1760,Human,30,0,G,1,1994,7/25/94 0:00,7/29/94 0:00,,Oregon,41,44.85833,-121.25,33495,0,0
11176,FWS,GREASEWOOD KNOLLS, ,F297,Human,30,0,F,1,2003,8/14/03 0:00,8/16/03 0:00,,Utah,49,41.55,-112.28333,1200,0,0
11284,FWS,VERNITA BR,1009,1009,Human,30,0,F,1,1984,5/30/84 0:00,5/30/84 0:00,,Washington,53,46.68333,-119.66667,2355,0,0
11291,FWS,GOOSE LAKE,1018,1018,Human,30,0,F,1,1984,7/11/84 0:00,7/12/84 0:00,,Washington,53,46.91667,-119.25,1207,0,0
11298,FWS,WAHLUKE,1032,1032,Human,30,0,F,1,1984,8/21/84 0:00,8/21/84 0:00,,Washington,53,46.73333,-119.53333,1700,0,0
11306,FWS,GOOSE LAKE,1045,1045,Human,30,0,F,1,1992,5/20/92 0:00,5/21/92 0:00,,Washington,53,46.91667,-119.26667,1719,0,0
11310,FWS,RED ROCK 1,1055,1055,Human,30,0,F,1,1985,6/21/85 0:00,6/21/85 0:00,,Washington,53,46.88333,-119.6,3530,0,0
11363,FWS,CORFU,1928,1928,Natural,30,0,G,1,1997,7/21/97 0:00,7/23/97 0:00,,Washington,53,46.82083,-119.34167,5000,0,0
11406,FWS,HIGHWAY 24,1324,1324,Human,30,0,G,1,1993,6/14/93 0:00,6/15/93 0:00,,Washington,53,46.73333,-119.51667,12705,0,0
11408,FWS,24 COMMAND,1357,1357,Human,30,0,G,1,2000,6/27/00 0:00,7/2/00 0:00,,Washington,53,46.57194,-119.77278,163884,0,0
11409,FWS,365,1360,1360,Human,30,0,F,1,1992,9/12/92 0:00,9/13/92 0:00,,Washington,53,46.3875,-119.4541,4000,0,0
11427,FWS,ELKMEADOW,1564,1564,Natural,30,0,G,1,1998,7/28/98 0:00,7/30/98 0:00,,Washington,53,46.52056,-119.71639,6500,0,0
11454,FWS,SHOOTING RANGE, ,A439,Human,30,0,F,1,2003,7/16/03 0:00,7/16/03 0:00,,Washington,53,46.35333,-119.48167,1391,0,0
11482,FWS,WEATHER STATION, ,BYJ7,Human,30,0,F,1,2005,7/5/05 0:00,7/7/05 0:00,,Washington,53,46.6944,-119.6936,4917,0,0
12211,FWS,BUENA,2007USAZBARDJE8,DJE8,Human,0,0,F,1,2007,6/17/07 0:00,6/20/07 0:00,8/15/07 0:00,Arizona,4,31.74,-111.38,1151,4,30
12239,FWS,UPPER GOOSE,2007USWACBRDQJ1,DQJ1,Natural,0,0,F,1,2007,7/13/07 0:00,7/16/07 0:00,7/21/07 0:00,Washington,53,46.9375,-119.2397222,2267,1,30
12377,FWS,MILEPOST 17,2007USWAHFRDV91,DV91,Undetermined,0,0,F,1,2007,8/13/07 0:00,8/14/07 0:00,8/15/07 0:00,Washington,53,46.41333333,-119.4577778,4704,9,30
12417,FWS,HIGHWAY 26,2007USWACBRDSZ5,DSZ5,Natural,0,0,F,1,2007,7/13/07 0:00,7/17/07 0:00,7/20/07 0:00,Washington,53,46.84388889,-119.3236111,1454,1,30
12530,FWS,262,2008USWACBRED2W,ED2W,Human,0,0,F,1,2008,7/27/08 0:00,8/2/08 0:00,8/9/08 0:00,Washington,53,46.95444444,-119.3033333,3500,5,30
12585,FWS,HWY 24 MP 60,2007USWAHFRDQH0,DQH0,Natural,0,0,F,1,2007,7/13/07 0:00,7/16/07 0:00,7/21/07 0:00,Washington,53,46.74222222,-119.4758333,3187,1,30
12626,FWS,ELKHORN,2009USAZBAREY2X,EY2X,Undetermined,0,0,F,1,2009,6/11/09 0:00,6/22/09 0:00,7/1/09 0:00,Arizona,4,31.78333333,-111.5666667,2696,9,30
12716,FWS,OVERLOOK,2007USWAHFRDQE2,DQE2,Natural,0,0,G,1,2007,7/13/07 0:00,7/20/07 0:00,7/30/07 0:00,Washington,53,46.62138889,-119.3811111,17946,1,30
12751,FWS,RANCH,2007USCAHPRD1Q3,D1Q3,Undetermined,0,0,G,1,2007,10/20/07 0:00,10/30/07 0:00,12/17/07 0:00,California,6,34.570746,-118.697195,58401,9,30
12893,FWS,HARRIS,2007USCATNRD1Q7,D1Q7,Human,0,0,G,1,2007,10/21/07 0:00,10/31/07 0:00,11/30/07 0:00,California,6,32.608768,-116.577142,90440,4,30
12945,FWS,PORT KELLY,2010USWAMNRFN9Q,FN9Q,Natural,0,0,F,1,2010,7/31/10 0:00,8/1/10 0:00,8/1/10 0:00,Washington,53,46.005,-118.9572222,2755,1,30
12973,FWS,MM11,2010USIDMNRFTB6,FTB6,Undetermined,0,0,F,1,2010,8/26/10 0:00,8/27/10 0:00,9/1/10 0:00,Idaho,16,42.6197,-113.27233,1801,9,30
13059,FWS,RAT PATCH,2010USMTCMRFSR2,FSR2,Natural,0,0,G,1,2010,8/21/10 0:00,8/30/10 0:00,9/30/10 0:00,Montana,30,47.55194444,-108.1694444,27898,1,30
13299,FWS,BLACK BUTTE,2009USNMSERE4FA,E4FA,Natural,0,0,G,1,2009,8/4/09 0:00,8/9/09 0:00,8/10/09 0:00,New Mexico,35,34.3769,-106.7391,7836.2,1,30
13301,FWS,WELLS,2012USMTCMRG4BB,G4BB,Natural,0,0,G,1,2012,7/31/12 0:00,8/12/12 0:00,8/13/12 0:00,Montana,30,47.51873,-107.8883,9468,1,30
13311,FWS,243 COMMAND,2008USWAHFREB1H,EB1H,Human,0,0,F,1,2008,7/14/08 0:00,7/17/08 0:00,7/19/08 0:00,Washington,53,46.64555556,-119.7630556,1191.9,4,30
13355,FWS,MP 31,2012USWACBRGXW5,GXW5,Human,0,0,F,1,2012,6/13/12 0:00,6/17/12 0:00,7/1/12 0:00,Washington,53,46.82194444,-119.3733333,1141,4,30
13598,FWS,HAY,2010USORKLRFXF0,FXF0,Human,0,0,F,1,2010,10/14/10 0:00,10/22/10 0:00,11/22/10 0:00,Oregon,41,42.895663,-121.658089,3083,4,30
14072,FWS,SUNNYSIDE TURN OFF,2013USORWSRHR3P,HR3P,Undetermined,0,0,G,1,2013,7/20/13 0:00,,9/29/13 0:00,Oregon,41,44.86291,-121.24436,51015,9,30
14400,FWS,Range 12,2016USWAHFRKJ14,KJ14,Human,0,0,G,1,2016,7/30/16 0:00,8/14/16 0:00,8/29/16 0:00,Washington,53,46.569326,-120.080828,171915,4,30
14446,FWS,Willow,2015USAZHVRJ022,J022,Natural,0,0,G,1,2015,8/8/15 0:00,9/4/15 0:00,9/16/15 0:00,Arizona,4,34.8164579,-114.5208749,6000,1,30
14570,FWS,Three Hills,2016USAZBARKG54,KG54,Natural,0,0,F,1,2016,7/21/16 0:00,7/25/16 0:00,8/2/16 0:00,Arizona,4,31.5504,-111.4742,1624,1,30
14721,FWS,POKER JIM,2010USORHMRFP5X,FP5X,Human,0,0,F,1,2010,8/5/10 0:00,8/11/10 0:00,8/25/10 0:00,Oregon,41,42.69055556,-119.6105556,3153,9,30
15166,FWS,ISLAND LAKE,2013USAZIMRHG64,HG64,Human,0,0,F,1,2013,5/19/13 0:00,6/4/13 0:00,7/22/13 0:00,Arizona,4,33.02694444,-114.5938889,3200,9,30
15210,FWS,RIFFLE,2013USORHMRHZM0,HZM0,Undetermined,0,0,F,1,2013,9/16/13 0:00,,10/17/13 0:00,Oregon,41,42.3866,-119.7201,1007,9,30
15322,FWS,Topock,2016USAZHVRJ7T7,J7T7,Undetermined,0,0,F,1,2016,4/6/16 0:00,4/20/16 0:00,5/29/16 0:00,Arizona,4,34.734098,-114.503711,2232,9,30
15404,FWS,THREE SLASHES,2011USAZCBRGDB9,GDB9,Human,0,0,G,1,2011,8/29/11 0:00,10/4/11 0:00,11/23/11 0:00,California,6,33.27083333,-114.7108333,5169,9,30
15561,FWS,DOD4,2013USNVDSRHPN5,HPN5,Natural,0,0,F,1,2013,7/7/13 0:00,7/9/13 0:00,7/25/13 0:00,Nevada,32,36.997742,-115.799647,1276,1,30
15788,FWS,Brown,2016USAZBARKA3V,KA3V,Human,0,0,G,1,2016,6/17/16 0:00,6/27/16 0:00,7/1/16 0:00,Arizona,4,31.775403,-111.562903,15405,0,0
15826,FWS,Saddle Lakes Fire,2015USWAHFRJU4Q,JU4Q,Natural,0,0,G,1,2015,6/28/15 0:00,7/12/15 0:00,7/21/15 0:00,Washington,53,46.715432,-119.640081,14235,1,30
15953,FWS,HUMP,2010USNVDSRW306,W306,Undetermined,0,0,F,1,2010,8/2/10 0:00,8/9/10 0:00,8/9/10 0:00,Nevada,32,37.167221,-115.910317,1857,9,30
15985,FWS,Lower Crab Creek,2016USWACBRKK2K,KK2K,Undetermined,0,0,G,1,2016,8/5/16 0:00,8/13/16 0:00,8/29/16 0:00,Washington,53,46.829265,-119.899438,6262,9,30
15986,FWS,Boardman,2016USWAMNRKK4M,KK4M,Human,0,0,F,1,2016,8/6/16 0:00,8/10/16 0:00,8/14/16 0:00,Oregon,41,45.83402554,-119.8182339,1141.2,4,13
16021,FWS,State line,2015USWAMNRJ3J1,J3J1,Human,0,0,G,1,2015,9/13/15 0:00,9/15/15 0:00,9/20/15 0:00,Oregon,41,45.978608,-118.995803,8988,4,30
16165,FWS,WAUTOMA,2007USWAHFRDW2Z,DW2Z,Undetermined,0,0,G,1,2007,8/16/07 0:00,8/18/07 0:00,8/25/07 0:00,Washington,53,46.53361111,-119.8805556,72641,9,30
16196,FWS,RED ROCK FIRE,2008USMTRLREKZ8,EKZ8,Human,0,0,F,1,2008,9/12/08 0:00,9/22/08 0:00,10/6/08 0:00,Montana,30,44.59972222,-111.7497222,1163,4,17
16407,FWS,Cumero,2016USAZBARJ8VU,J8VU,Human,0,0,G,1,2016,5/6/16 0:00,5/13/16 0:00,5/28/16 0:00,Arizona,4,31.488305,-111.436495,5557,0,0
16511,FS,Lost Solar,20,KK95,Natural,1,1,F,1,2016,8/8/16 0:00,11/28/16 0:00,11/28/16 0:00,Colorado,8,39.86916667,-107.4663889,4417,0,1
16525,FS,PILOT,60,KK6C,Human,3,9,G,1,2016,8/7/16 0:00,8/16/16 0:00,10/24/16 0:00,California,6,34.27666667,-117.2766667,8110,8,3
16581,FS,PIONEER,18,KGG1,Human,30,9,G,1,2016,7/18/16 0:00,1/24/17 0:00,1/24/17 0:00,Idaho,16,43.95027778,-115.7619444,188404,0,30
16606,FS,Pine,12,KC28,Human,9,4,F,1,2016,6/30/16 0:00,12/15/16 0:00,1/19/17 0:00,California,6,34.63083333,-119.2302778,2304,8,9
16632,FS,Briggs,14,KL6M,Natural,1,1,G,1,2016,8/9/16 0:00,9/22/16 0:00,11/28/16 0:00,Utah,49,38.34,-112.4686111,9015,0,1
16648,FS,BUCK,11,KDL5,Natural,1,1,F,1,2016,7/3/16 0:00,9/1/16 0:00,9/1/16 0:00,Idaho,16,44.37472222,-115.5147222,1255,0,1
16649,FS,ROUGH,23,KK6V,Natural,1,1,F,1,2016,8/7/16 0:00,8/30/16 0:00,8/30/16 0:00,Idaho,16,44.26138889,-115.4316667,4134,0,1
